Latitude,Longitude
28.75929,77.18541
28.58917046,77.25417328
28.6372,77.1824
28.68959045,77.27802277
28.60955048,77.13967133
28.66753,77.31475
28.68734,77.25825
28.6228,77.2882
28.70122,77.08452
28.69639969,77.12709808
28.6877,77.26125
28.6763134,77.22497559
28.76764,77.18622
28.68885,77.19327
28.69077,77.27365
28.65291,77.0412
28.60955048,77.13967133
28.61693,77.08136
28.53262,77.25347
28.70689,77.09873
28.72411,77.16682
28.6341095,77.21691132
28.66080093,77.10079956
28.6341095,77.21691132
28.69639969,77.12709808
28.60955048,77.13967133
28.71967,77.17086
28.6341095,77.21691132
28.6244,77.28462
28.55489922,77.19190216
28.62499,77.28369
28.6935997,77.30729675
28.65639,77.136
28.6341095,77.21691132
28.51144,77.18319
28.72508,77.16521
28.69631,77.07207
28.72583771,77.14941406
28.6341095,77.21691132
28.69128,77.18655
28.68028,77.21938
28.69631,77.07207
28.70773,77.28366
28.57365,77.20267
28.66559,77.29198
28.60955048,77.13967133
28.68956,77.09648
28.66914,77.29591
28.59022,77.07033
28.6935997,77.30729675
28.70664,77.26717
28.6935997,77.30729675
28.60955048,77.13967133
28.6763134,77.22497559
28.58995056,77.04006958
28.7083,77.1778
28.63693,77.04422
28.6763134,77.22497559
28.68268,77.02295
28.6935997,77.30729675
28.68959045,77.27802277
28.52748,77.25051
28.54651,77.25139
28.6029,77.04904
28.58995056,77.04006958
28.69158,77.06605
28.70307,77.06517
28.60955048,77.13967133
28.64797,77.13647
28.70318,77.25692
28.60955048,77.13967133
28.69639969,77.12709808
28.6935997,77.30729675
28.64500046,77.24500275
28.60955048,77.13967133
28.6763134,77.22497559
28.70972,77.25171
28.73536,77.11355
28.70535,77.31353
28.6763134,77.22497559
28.6341095,77.21691132
28.7214,77.09627
28.57586,77.20205
28.6341095,77.21691132
28.69219,77.29747
28.6341095,77.21691132
28.60955048,77.13967133
28.71668,77.28583
28.63999939,77.29000092
28.75836945,77.28392792
28.69639969,77.12709808
28.56375,77.2174
28.52583,77.08313
28.6341095,77.21691132
28.69631,77.07207
28.6935997,77.30729675
28.6763134,77.22497559
28.69639969,77.12709808
28.6641,77.21793
28.6763134,77.22497559
28.76584,77.20614
28.55489922,77.19190216
28.62013,77.2365
28.67126,77.25771
28.72647,77.21648
28.5994,76.97374
28.58995056,77.04006958
28.69056,77.04182
28.71027,77.25163
28.69968,77.10086
28.7015,77.31707
28.61886,77.3155
28.54071,77.13058
28.62554,77.30847
28.64559,77.18951
28.64615,77.22988
28.76387,77.20435
